seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, volt_in
113, 28.000312089920044, 28.006789207458496, 28.25, 0.0, 0.5220159306619465, 0.0, 36.498425, 13.534, 0.09356770531327269, 0.0
114, 28.250316381454468, 28.25670838356018, 28.0, 0.0, 0.5220159306619465, -0.002000061037018952, 36.2952, 13.534, 0.09356770531327269, -0.002000061037018952
115, 28.500311136245728, 28.50647807121277, 27.75, 0.0, 0.5200158696249275, -0.002000061037018952, 36.091975, 13.534, 0.08506744590594195, -0.002000061037018952
116, 28.750309944152832, 28.75641655921936, 27.5, 0.0, 0.5220159306619465, -0.002000061037018952, 35.88875, 13.534, 0.09356770531327269, -0.002000061037018952
117, 29.000311136245728, 29.006560564041138, 28.0, 0.0, 0.5220159306619465, -0.002000061037018952, 36.2952, 13.534, 0.09356770531327269, -0.002000061037018952
118, 29.250309228897095, 29.25960612297058, 28.0, 0.0, 0.5180158085879086, -0.002000061037018952, 36.2952, 13.534, 0.07656718649861169, -0.002000061037018952
119, 29.500307321548462, 29.506474494934082, 27.5, 0.0, 0.5200158696249275, 0.0, 35.88875, 13.534, 0.08506744590594195, 0.0
120, 29.750314712524414, 29.75644278526306, 27.75, 0.0, 0.5200158696249275, -0.002000061037018952, 36.091975, 13.534, 0.08506744590594195, -0.002000061037018952
121, 30.000311613082886, 30.00639009475708, 27.75, 0.0, 0.5220159306619465, -0.002000061037018952, 36.091975, 13.534, 0.09356770531327269, -0.002000061037018952
122, 30.250324964523315, 30.256706476211548, 27.75, 0.0, 0.5200158696249275, -0.002000061037018952, 36.091975, 13.534, 0.08506744590594195, -0.002000061037018952
123, 30.500312328338623, 30.506441354751587, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
124, 30.750308990478516, 30.75637936592102, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
125, 31.000311613082886, 31.006426572799683, 27.5, 0.0, 0.5200158696249275, -0.002000061037018952, 35.88875, 13.534, 0.08506744590594195, -0.002000061037018952
126, 31.250324010849, 31.256492376327515, 28.0, 0.0, 0.5180158085879086, -0.002000061037018952, 36.2952, 13.534, 0.07656718649861169, -0.002000061037018952
127, 31.500319957733154, 31.50647783279419, 28.5, 0.0, 0.5180158085879086, 0.0, 36.70165, 13.534, 0.07656718649861169, 0.0
128, 31.750319719314575, 31.756553888320923, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
129, 32.00031614303589, 32.00650930404663, 27.75, 0.0, 0.5200158696249275, 0.0, 36.091975, 13.534, 0.08506744590594195, 0.0
130, 32.25032305717468, 32.256500244140625, 28.0, 0.0, 0.5180158085879086, -0.002000061037018952, 36.2952, 13.534, 0.07656718649861169, -0.002000061037018952
131, 32.500314474105835, 32.506460189819336, 28.25, 0.0, 0.5180158085879086, -0.002000061037018952, 36.498425, 13.534, 0.07656718649861169, -0.002000061037018952
132, 32.75030875205994, 32.75637173652649, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
133, 33.00030779838562, 33.00693988800049, 27.75, 0.0, 0.5180158085879086, 0.0, 36.091975, 13.534, 0.07656718649861169, 0.0
134, 33.2503080368042, 33.256468772888184, 27.75, 0.0, 0.5200158696249275, 0.0, 36.091975, 13.534, 0.08506744590594195, 0.0
135, 33.500311851501465, 33.506492614746094, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
136, 33.75030970573425, 33.75641369819641, 28.25, 0.0, 0.5200158696249275, -0.002000061037018952, 36.498425, 13.534, 0.08506744590594195, -0.002000061037018952
137, 34.00030732154846, 34.00642108917236, 27.75, 0.0, 0.5200158696249275, 0.0, 36.091975, 13.534, 0.08506744590594195, 0.0
138, 34.25031495094299, 34.25645899772644, 27.75, 0.0, 0.5200158696249275, 0.0, 36.091975, 13.534, 0.08506744590594195, 0.0
139, 34.50030732154846, 34.5064377784729, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
140, 34.75031232833862, 34.756447315216064, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
141, 35.00030779838562, 35.00642943382263, 27.75, 0.0, 0.5200158696249275, 0.0, 36.091975, 13.534, 0.08506744590594195, 0.0
